Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY
01-07-2012,2012,3,7,1,20120701,July,Jul 2012,Q3 2012,6,Sunday,01-Jul-12,27,20120700,20120300,12,FY13
02-07-2012,2012,3,7,2,20120702,July,Jul 2012,Q3 2012,0,Monday,08-Jul-12,28,20120700,20120300,12,FY13
03-07-2012,2012,3,7,3,20120703,July,Jul 2012,Q3 2012,1,Tuesday,08-Jul-12,28,20120700,20120300,12,FY13
04-07-2012,2012,3,7,4,20120704,July,Jul 2012,Q3 2012,2,Wednesday,08-Jul-12,28,20120700,20120300,12,FY13
05-07-2012,2012,3,7,5,20120705,July,Jul 2012,Q3 2012,3,Thursday,08-Jul-12,28,20120700,20120300,12,FY13
06-07-2012,2012,3,7,6,20120706,July,Jul 2012,Q3 2012,4,Friday,08-Jul-12,28,20120700,20120300,12,FY13
07-07-2012,2012,3,7,7,20120707,July,Jul 2012,Q3 2012,5,Saturday,08-Jul-12,28,20120700,20120300,12,FY13
08-07-2012,2012,3,7,8,20120708,July,Jul 2012,Q3 2012,6,Sunday,08-Jul-12,28,20120700,20120300,12,FY13
09-07-2012,2012,3,7,9,20120709,July,Jul 2012,Q3 2012,0,Monday,15-Jul-12,29,20120700,20120300,12,FY13
10-07-2012,2012,3,7,10,20120710,July,Jul 2012,Q3 2012,1,Tuesday,15-Jul-12,29,20120700,20120300,12,FY13
11-07-2012,2012,3,7,11,20120711,July,Jul 2012,Q3 2012,2,Wednesday,15-Jul-12,29,20120700,20120300,12,FY13
12-07-2012,2012,3,7,12,20120712,July,Jul 2012,Q3 2012,3,Thursday,15-Jul-12,29,20120700,20120300,12,FY13
13-07-2012,2012,3,7,13,20120713,July,Jul 2012,Q3 2012,4,Friday,15-Jul-12,29,20120700,20120300,12,FY13
14-07-2012,2012,3,7,14,20120714,July,Jul 2012,Q3 2012,5,Saturday,15-Jul-12,29,20120700,20120300,12,FY13
15-07-2012,2012,3,7,15,20120715,July,Jul 2012,Q3 2012,6,Sunday,15-Jul-12,29,20120700,20120300,12,FY13
16-07-2012,2012,3,7,16,20120716,July,Jul 2012,Q3 2012,0,Monday,22-Jul-12,30,20120700,20120300,12,FY13
17-07-2012,2012,3,7,17,20120717,July,Jul 2012,Q3 2012,1,Tuesday,22-Jul-12,30,20120700,20120300,12,FY13
18-07-2012,2012,3,7,18,20120718,July,Jul 2012,Q3 2012,2,Wednesday,22-Jul-12,30,20120700,20120300,12,FY13
19-07-2012,2012,3,7,19,20120719,July,Jul 2012,Q3 2012,3,Thursday,22-Jul-12,30,20120700,20120300,12,FY13
20-07-2012,2012,3,7,20,20120720,July,Jul 2012,Q3 2012,4,Friday,22-Jul-12,30,20120700,20120300,12,FY13
21-07-2012,2012,3,7,21,20120721,July,Jul 2012,Q3 2012,5,Saturday,22-Jul-12,30,20120700,20120300,12,FY13
22-07-2012,2012,3,7,22,20120722,July,Jul 2012,Q3 2012,6,Sunday,22-Jul-12,30,20120700,20120300,12,FY13
23-07-2012,2012,3,7,23,20120723,July,Jul 2012,Q3 2012,0,Monday,29-Jul-12,31,20120700,20120300,12,FY13
24-07-2012,2012,3,7,24,20120724,July,Jul 2012,Q3 2012,1,Tuesday,29-Jul-12,31,20120700,20120300,12,FY13
25-07-2012,2012,3,7,25,20120725,July,Jul 2012,Q3 2012,2,Wednesday,29-Jul-12,31,20120700,20120300,12,FY13
26-07-2012,2012,3,7,26,20120726,July,Jul 2012,Q3 2012,3,Thursday,29-Jul-12,31,20120700,20120300,12,FY13
27-07-2012,2012,3,7,27,20120727,July,Jul 2012,Q3 2012,4,Friday,29-Jul-12,31,20120700,20120300,12,FY13
28-07-2012,2012,3,7,28,20120728,July,Jul 2012,Q3 2012,5,Saturday,29-Jul-12,31,20120700,20120300,12,FY13
29-07-2012,2012,3,7,29,20120729,July,Jul 2012,Q3 2012,6,Sunday,29-Jul-12,31,20120700,20120300,12,FY13
30-07-2012,2012,3,7,30,20120730,July,Jul 2012,Q3 2012,0,Monday,05-Aug-12,32,20120700,20120300,12,FY13
31-07-2012,2012,3,7,31,20120731,July,Jul 2012,Q3 2012,1,Tuesday,05-Aug-12,32,20120700,20120300,12,FY13
01-08-2012,2012,3,8,1,20120801,August,Aug 2012,Q3 2012,2,Wednesday,05-Aug-12,32,20120800,20120300,12,FY13
02-08-2012,2012,3,8,2,20120802,August,Aug 2012,Q3 2012,3,Thursday,05-Aug-12,32,20120800,20120300,12,FY13
03-08-2012,2012,3,8,3,20120803,August,Aug 2012,Q3 2012,4,Friday,05-Aug-12,32,20120800,20120300,12,FY13
04-08-2012,2012,3,8,4,20120804,August,Aug 2012,Q3 2012,5,Saturday,05-Aug-12,32,20120800,20120300,12,FY13
05-08-2012,2012,3,8,5,20120805,August,Aug 2012,Q3 2012,6,Sunday,05-Aug-12,32,20120800,20120300,12,FY13
06-08-2012,2012,3,8,6,20120806,August,Aug 2012,Q3 2012,0,Monday,12-Aug-12,33,20120800,20120300,12,FY13
07-08-2012,2012,3,8,7,20120807,August,Aug 2012,Q3 2012,1,Tuesday,12-Aug-12,33,20120800,20120300,12,FY13
08-08-2012,2012,3,8,8,20120808,August,Aug 2012,Q3 2012,2,Wednesday,12-Aug-12,33,20120800,20120300,12,FY13
09-08-2012,2012,3,8,9,20120809,August,Aug 2012,Q3 2012,3,Thursday,12-Aug-12,33,20120800,20120300,12,FY13
10-08-2012,2012,3,8,10,20120810,August,Aug 2012,Q3 2012,4,Friday,12-Aug-12,33,20120800,20120300,12,FY13
11-08-2012,2012,3,8,11,20120811,August,Aug 2012,Q3 2012,5,Saturday,12-Aug-12,33,20120800,20120300,12,FY13
12-08-2012,2012,3,8,12,20120812,August,Aug 2012,Q3 2012,6,Sunday,12-Aug-12,33,20120800,20120300,12,FY13
13-08-2012,2012,3,8,13,20120813,August,Aug 2012,Q3 2012,0,Monday,19-Aug-12,34,20120800,20120300,12,FY13
14-08-2012,2012,3,8,14,20120814,August,Aug 2012,Q3 2012,1,Tuesday,19-Aug-12,34,20120800,20120300,12,FY13
15-08-2012,2012,3,8,15,20120815,August,Aug 2012,Q3 2012,2,Wednesday,19-Aug-12,34,20120800,20120300,12,FY13
16-08-2012,2012,3,8,16,20120816,August,Aug 2012,Q3 2012,3,Thursday,19-Aug-12,34,20120800,20120300,12,FY13
17-08-2012,2012,3,8,17,20120817,August,Aug 2012,Q3 2012,4,Friday,19-Aug-12,34,20120800,20120300,12,FY13
18-08-2012,2012,3,8,18,20120818,August,Aug 2012,Q3 2012,5,Saturday,19-Aug-12,34,20120800,20120300,12,FY13
19-08-2012,2012,3,8,19,20120819,August,Aug 2012,Q3 2012,6,Sunday,19-Aug-12,34,20120800,20120300,12,FY13
20-08-2012,2012,3,8,20,20120820,August,Aug 2012,Q3 2012,0,Monday,26-Aug-12,35,20120800,20120300,12,FY13
